Date,State,Industry Sector Category,Residential
2016,NJ,Restructured Retail Service Providers,16.45
2016,NV,Restructured Retail Service Providers,0.00
2016,NY,Restructured Retail Service Providers,20.52
2016,OH,Restructured Retail Service Providers,12.41
2016,OR,Restructured Retail Service Providers,0.00
2016,PA,Restructured Retail Service Providers,14.99
2016,RI,Restructured Retail Service Providers,20.15
2016,VA,Restructured Retail Service Providers,0.00
2016,WA,Restructured Retail Service Providers,0.00
2016,US,Restructured Retail Service Providers,15.46
2016,CA,Energy-Only Providers,7.35
2016,CT,Energy-Only Providers,9.54
2016,DC,Energy-Only Providers,10.68
2016,DE,Energy-Only Providers,9.89
2016,IL,Energy-Only Providers,7.33
2016,MA,Energy-Only Providers,11.01
2016,MD,Energy-Only Providers,10.20
2016,ME,Energy-Only Providers,10.18
2016,MI,Energy-Only Providers,7.75
2016,MT,Energy-Only Providers,6.00
2016,NH,Energy-Only Providers,10.51
2016,NJ,Energy-Only Providers,11.88
2016,NV,Energy-Only Providers,0.00
2016,NY,Energy-Only Providers,9.46
2016,OH,Energy-Only Providers,6.39
2016,OR,Energy-Only Providers,0.00
2016,PA,Energy-Only Providers,8.61
2016,RI,Energy-Only Providers,11.04
2016,VA,Energy-Only Providers,0.00
2016,WA,Energy-Only Providers,0.00
2016,US,Energy-Only Providers,8.37
2016,CA,Delivery-Only Service,13.15
2016,CT,Delivery-Only Service,11.59
2016,DC,Delivery-Only Service,4.17
2016,DE,Delivery-Only Service,4.78
2016,IL,Delivery-Only Service,5.74
2016,MA,Delivery-Only Service,9.69
